Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
1681832928,111,cuGetProcAddress_v2,0,420,15766,15766,20,darknet
1681833099,320,cuGetProcAddress_v2,0,421,15766,15766,20,darknet
1681833550,110,cuGetProcAddress_v2,0,422,15766,15766,20,darknet
1681833830,200,cuGetProcAddress_v2,0,423,15766,15766,20,darknet
1681834161,310,cuGetProcAddress_v2,0,424,15766,15766,20,darknet
1681834602,200,cuGetProcAddress_v2,0,425,15766,15766,20,darknet
1681834972,211,cuGetProcAddress_v2,0,426,15766,15766,20,darknet
1681835243,290,cuGetProcAddress_v2,0,427,15766,15766,20,darknet
1681835734,190,cuGetProcAddress_v2,0,428,15766,15766,20,darknet
1681836044,231,cuGetProcAddress_v2,0,429,15766,15766,20,darknet
1681836395,200,cuGetProcAddress_v2,0,430,15766,15766,20,darknet
1681840312,110,cuGetProcAddress_v2,0,431,15766,15766,20,darknet
1681840502,191,cuGetProcAddress_v2,0,432,15766,15766,20,darknet
1681840753,100,cuGetProcAddress_v2,0,433,15766,15766,20,darknet
1681841023,111,cuGetProcAddress_v2,0,434,15766,15766,20,darknet
1681841194,230,cuGetProcAddress_v2,0,435,15766,15766,20,darknet
1681841594,231,cuGetProcAddress_v2,0,436,15766,15766,20,darknet
1681841885,250,cuGetProcAddress_v2,0,437,15766,15766,20,darknet
1681842195,91,cuGetProcAddress_v2,0,438,15766,15766,20,darknet
1681842456,190,cuGetProcAddress_v2,0,439,15766,15766,20,darknet
1681842706,391,cuGetProcAddress_v2,0,440,15766,15766,20,darknet
1681843157,80,cuGetProcAddress_v2,0,441,15766,15766,20,darknet
1681843578,180,cuGetProcAddress_v2,0,442,15766,15766,20,darknet
1681843818,331,cuGetProcAddress_v2,0,443,15766,15766,20,darknet
1681844319,341,cuGetProcAddress_v2,0,444,15766,15766,20,darknet
1681844720,301,cuGetProcAddress_v2,0,445,15766,15766,20,darknet
1681845151,270,cuGetProcAddress_v2,0,446,15766,15766,20,darknet
1681845482,440,cuGetProcAddress_v2,0,447,15766,15766,20,darknet
1681846053,300,cuGetProcAddress_v2,0,448,15766,15766,20,darknet
1681846413,231,cuGetProcAddress_v2,0,449,15766,15766,20,darknet
1681846814,90,cuGetProcAddress_v2,0,450,15766,15766,20,darknet
1681847034,91,cuGetProcAddress_v2,0,451,15766,15766,20,darknet
1681847495,70,cuGetProcAddress_v2,0,452,15766,15766,20,darknet
1681847686,80,cuGetProcAddress_v2,0,453,15766,15766,20,darknet
1681847826,70,cuGetProcAddress_v2,0,454,15766,15766,20,darknet
1681848076,181,cuGetProcAddress_v2,0,455,15766,15766,20,darknet
1681848377,210,cuGetProcAddress_v2,0,456,15766,15766,20,darknet
1681848717,161,cuGetProcAddress_v2,0,457,15766,15766,20,darknet
1681849048,301,cuGetProcAddress_v2,0,458,15766,15766,20,darknet
1681849469,90,cuGetProcAddress_v2,0,459,15766,15766,20,darknet
1681849729,291,cuGetProcAddress_v2,0,460,15766,15766,20,darknet
1681850150,190,cuGetProcAddress_v2,0,461,15766,15766,20,darknet
1681850401,280,cuGetProcAddress_v2,0,462,15766,15766,20,darknet
1681850861,201,cuGetProcAddress_v2,0,463,15766,15766,20,darknet
1681851122,381,cuGetProcAddress_v2,0,464,15766,15766,20,darknet
1681851633,300,cuGetProcAddress_v2,0,465,15766,15766,20,darknet
1681852104,230,cuGetProcAddress_v2,0,466,15766,15766,20,darknet
1681852464,101,cuGetProcAddress_v2,0,467,15766,15766,20,darknet
1681852745,190,cuGetProcAddress_v2,0,468,15766,15766,20,darknet
1681852995,231,cuGetProcAddress_v2,0,469,15766,15766,20,darknet
1681853286,210,cuGetProcAddress_v2,0,470,15766,15766,20,darknet
1681853667,200,cuGetProcAddress_v2,0,471,15766,15766,20,darknet
1681853927,160,cuGetProcAddress_v2,0,472,15766,15766,20,darknet
1681854147,171,cuGetProcAddress_v2,0,473,15766,15766,20,darknet
1681854488,110,cuGetProcAddress_v2,0,474,15766,15766,20,darknet
1681854658,151,cuGetProcAddress_v2,0,475,15766,15766,20,darknet
1681854979,321,cuGetProcAddress_v2,0,476,15766,15766,20,darknet
1681855360,290,cuGetProcAddress_v2,0,477,15766,15766,20,darknet
1681855710,81,cuGetProcAddress_v2,0,478,15766,15766,20,darknet
1681856081,321,cuGetProcAddress_v2,0,479,15766,15766,20,darknet
1681856462,200,cuGetProcAddress_v2,0,480,15766,15766,20,darknet
1681856722,201,cuGetProcAddress_v2,0,481,15766,15766,20,darknet
1681857093,230,cuGetProcAddress_v2,0,482,15766,15766,20,darknet
1681857383,101,cuGetProcAddress_v2,0,483,15766,15766,20,darknet
1681857654,511,cuGetProcAddress_v2,0,484,15766,15766,20,darknet
1681858225,200,cuGetProcAddress_v2,0,485,15766,15766,20,darknet
1681858485,191,cuGetProcAddress_v2,0,486,15766,15766,20,darknet
1681858846,331,cuGetProcAddress_v2,0,487,15766,15766,20,darknet
1681859237,320,cuGetProcAddress_v2,0,488,15766,15766,20,darknet
1681859618,190,cuGetProcAddress_v2,0,489,15766,15766,20,darknet
1681860068,201,cuGetProcAddress_v2,0,490,15766,15766,20,darknet
1681860409,291,cuGetProcAddress_v2,0,491,15766,15766,20,darknet
1681860880,210,cuGetProcAddress_v2,0,492,15766,15766,20,darknet
1681861210,71,cuGetProcAddress_v2,0,493,15766,15766,20,darknet
1681861341,80,cuGetProcAddress_v2,0,494,15766,15766,20,darknet
1681861591,251,cuGetProcAddress_v2,0,495,15766,15766,20,darknet
1681861962,421,cuGetProcAddress_v2,0,496,15766,15766,20,darknet
1681862443,70,cuGetProcAddress_v2,0,497,15766,15766,20,darknet
1681862683,521,cuGetProcAddress_v2,0,498,15766,15766,20,darknet
1681863324,101,cuGetProcAddress_v2,0,499,15766,15766,20,darknet
1681863595,180,cuGetProcAddress_v2,0,500,15766,15766,20,darknet
1681863905,181,cuGetProcAddress_v2,0,501,15766,15766,20,darknet
1681864216,270,cuGetProcAddress_v2,0,502,15766,15766,20,darknet
1681864657,160,cuGetProcAddress_v2,0,503,15766,15766,20,darknet
1681864877,221,cuGetProcAddress_v2,0,504,15766,15766,20,darknet
1681865228,90,cuGetProcAddress_v2,0,505,15766,15766,20,darknet
1681865488,231,cuGetProcAddress_v2,0,506,15766,15766,20,darknet
1681865849,90,cuGetProcAddress_v2,0,507,15766,15766,20,darknet
1681866109,301,cuGetProcAddress_v2,0,508,15766,15766,20,darknet
1681866530,461,cuGetProcAddress_v2,0,509,15766,15766,20,darknet
1681867051,130,cuGetProcAddress_v2,0,510,15766,15766,20,darknet
1681867322,210,cuGetProcAddress_v2,0,511,15766,15766,20,darknet
1681867652,191,cuGetProcAddress_v2,0,512,15766,15766,20,darknet
1681867903,300,cuGetProcAddress_v2,0,513,15766,15766,20,darknet
1681868324,180,cuGetProcAddress_v2,0,514,15766,15766,20,darknet
1681868574,281,cuGetProcAddress_v2,0,515,15766,15766,20,darknet
1681868995,190,cuGetProcAddress_v2,0,516,15766,15766,20,darknet
1681869315,211,cuGetProcAddress_v2,0,517,15766,15766,20,darknet
